Название программы,Бюджетные,Платные,Стоимость обучения,Направление подготовки
Корпоративный финансовый менеджмент,7,40,225 000,38.04.02
Менеджмент в финансовых организациях,4,35,216 000,38.04.02
Управление инвестиционно-строительной деятельностью,бюджетных,15,265 000,38.04.02
Управление государственным и корпоративным заказом,5,25,290 000,38.04.02
Организация и управление в здравоохранении,10,50,200 000,38.04.04
Управление проектами и программами,5,85,210 000,38.04.04
Внутренняя политика и политические технологии,бюджетных,40,,38.04.04
"Финансовое право, налоговое право и налогообложение",5,55,230 000,40.04.01
Маркетинговые стратегии бренд-лидерства,бюджетных,15,260 000,38.04.02
Прикладные корпоративные финансы,4,35,225 000,38.04.08
Инвестиционные стратегии,бюджетных,15,260 000,38.04.08
Международное бизнес-право (LLM-program in International ...,бюджетных,15,400 000,40.04.01
Психология управления,10,30,250 000,37.04.01
Экономика и право,5,60,240 000,38.04.01
Корпоративная экономика,5,40,280 000,38.04.01
Корпоративное управление и стратегическое развитие бизнеса,бюджетных,75,216 000,38.04.02
Управление персоналом государственной службы и корпораций,8,60,200 000,38.04.03
Государственная служба и кадровая политика,5,60,210 000,38.04.04
Система государственного и муниципального управления,25,160,190 000,38.04.04
"Гражданское право, семейное право, международное частное ...",7,105,230 000,40.04.01
Корпоративный финансовый менеджмент,7,40,225 000,38.04.02
Менеджмент в финансовых организациях,4,35,216 000,38.04.02
Управление инвестиционно-строительной деятельностью,бюджетных,15,265 000,38.04.02
Управление государственным и корпоративным заказом,5,25,290 000,38.04.02
Организация и управление в здравоохранении,10,50,200 000,38.04.04
Управление проектами и программами,5,85,210 000,38.04.04
Внутренняя политика и политические технологии,бюджетных,40,,38.04.04
"Финансовое право, налоговое право и налогообложение",5,55,230 000,40.04.01
Маркетинговые стратегии бренд-лидерства,бюджетных,15,260 000,38.04.02
Прикладные корпоративные финансы,4,35,225 000,38.04.08
Инвестиционные стратегии,бюджетных,15,260 000,38.04.08
Международное бизнес-право (LLM-program in International ...,бюджетных,15,400 000,40.04.01
Психология управления,10,30,250 000,37.04.01
Экономика и право,5,60,240 000,38.04.01
Корпоративная экономика,5,40,280 000,38.04.01
Корпоративное управление и стратегическое развитие бизнеса,бюджетных,75,216 000,38.04.02
Управление персоналом государственной службы и корпораций,8,60,200 000,38.04.03
Государственная служба и кадровая политика,5,60,210 000,38.04.04
Система государственного и муниципального управления,25,160,190 000,38.04.04
"Гражданское право, семейное право, международное частное ...",7,105,230 000,40.04.01
Политическое региональное управление и экономическая ...,15,45,240 000,41.04.04
"Банки, финансы, инвестиции",4,35,216 000,38.04.01
Общий и стратегический менеджмент,бюджетных,40,353 000,38.04.02
Управление лидерством и организационная трансформация,бюджетных,15,280 000,38.04.02
Управление государственными и муниципальными предприятиями,10,100,190 000,38.04.04
Государственное регулирование экономики,10,30,200 000,38.04.01
Информационный менеджмент,бюджетных,50,220 000,38.04.02
Деловое администрирование,бюджетных,150,500 000,38.04.02
Управление производственными системами,5,25,290 000,38.04.02
Психология политического лидерства и управления,бюджетных,45,200 000,38.04.04
Правовое обеспечение государственного и муниципального ...,7,50,230 000,40.04.01
Психология кризисных состояний и клиническая психология,11,40,250 000,37.04.01
"Финансы: учет, анализ и аудит",4,35,216 000,38.04.01
Финансовая дипломатия,4,30,216 000,38.04.01
Бизнес и финансово-управленческие решения,4,20,358 000,38.04.01
Предпринимательство в цифровой среде,4,35,,38.04.01
Технологическое предпринимательство,5,25,290 000,38.04.02
Управление цифровыми проектами,бюджетных,80,390 000,38.04.02
Государственная и муниципальная социальная политика,5,45,190 000,38.04.04
Государственное регулирование корпоративного сектора и ...,5,15,240 000,38.04.04
Финансовая инженерия,4,30,216 000,38.04.08
