Название программы,Бюджетные,Платные,Стоимость обучения,Направление подготовки
Корпоративный финансовый менеджмент,7,40,225 000,38.04.02
Менеджмент в финансовых организациях,4,35,216 000,38.04.02
Организация и управление в здравоохранении,10,50,200 000,38.04.04
"Управление в сфере культуры, образования и науки",5,40,190 000,38.04.04
Управление проектами и программами,5,85,210 000,38.04.04
Цифровое государство (стратегическое развитие ...,5,60,210 000,38.04.04
"Финансовое право, налоговое право и налогообложение",5,55,230 000,40.04.01
Юрист имущественного комплекса,бюджетных,30,190 000,40.04.01
Разработка компьютерных игр (гейм-дизайн),бюджетных,45,230 000,09.04.03
Стратегическое проектирование в сфере просвещения и ...,бюджетных,20,190 000,38.04.04
Безопасность межконфессиональных и межэтнических отношений,5,15,190 000,38.04.04
Антикризисное управление,бюджетных,25,210 000,38.04.04
Парламентская деятельность и обеспечение межпарламентского ...,бюджетных,40,210 000,38.04.04
Стратегическое управление человеческим капиталом,бюджетных,25,,38.04.04
Прикладные корпоративные финансы,4,35,225 000,38.04.08
"Международное право, европейское право, международная ...",4,30,220 000,40.04.01
Юрист в государственном аппарате,8,30,240 000,40.04.01
Экономика и право,5,60,240 000,38.04.01
Управление инвестициями и инновациями в экономике,8,25,210 000,38.04.01
Корпоративное управление и стратегическое развитие бизнеса,бюджетных,75,216 000,38.04.02
Корпоративный финансовый менеджмент,7,40,225 000,38.04.02
Менеджмент в финансовых организациях,4,35,216 000,38.04.02
Организация и управление в здравоохранении,10,50,200 000,38.04.04
"Управление в сфере культуры, образования и науки",5,40,190 000,38.04.04
Управление проектами и программами,5,85,210 000,38.04.04
Цифровое государство (стратегическое развитие ...,5,60,210 000,38.04.04
"Финансовое право, налоговое право и налогообложение",5,55,230 000,40.04.01
Юрист имущественного комплекса,бюджетных,30,190 000,40.04.01
Разработка компьютерных игр (гейм-дизайн),бюджетных,45,230 000,09.04.03
Стратегическое проектирование в сфере просвещения и ...,бюджетных,20,190 000,38.04.04
Безопасность межконфессиональных и межэтнических отношений,5,15,190 000,38.04.04
Антикризисное управление,бюджетных,25,210 000,38.04.04
Парламентская деятельность и обеспечение межпарламентского ...,бюджетных,40,210 000,38.04.04
Стратегическое управление человеческим капиталом,бюджетных,25,,38.04.04
Прикладные корпоративные финансы,4,35,225 000,38.04.08
"Международное право, европейское право, международная ...",4,30,220 000,40.04.01
Юрист в государственном аппарате,8,30,240 000,40.04.01
Экономика и право,5,60,240 000,38.04.01
Управление инвестициями и инновациями в экономике,8,25,210 000,38.04.01
Корпоративное управление и стратегическое развитие бизнеса,бюджетных,75,216 000,38.04.02
Менеджмент здравоохранения и цифровизация,5,20,216 000,38.04.02
Управление персоналом государственной службы и корпораций,8,60,200 000,38.04.03
Национальные и федеративные отношения,5,15,180 000,38.04.04
Общественные связи и медиаполитика,4,50,210 000,38.04.04
"Инновационные технологии взаимодействия власти, бизнеса и ...",бюджетных,25,262 000,38.04.04
Государственная служба и кадровая политика,5,60,210 000,38.04.04
Система государственного и муниципального управления,25,160,190 000,38.04.04
Управление институциональной и межкультурной коммуникацией,бюджетных,30,,38.04.04
Государственный аудит и контроль,5,15,210 000,38.04.09
"Гражданское право, семейное право, международное частное ...",7,105,230 000,40.04.01
"Юрист для бизнеса, власти и обеспечения прав человека",7,30,240 000,40.04.01
"Банки, финансы, инвестиции",4,35,216 000,38.04.01
Межгосударственное взаимодействие (с углубленным изучением ...,4,30,200 000,38.04.04
Управление государственными и муниципальными предприятиями,10,100,190 000,38.04.04
Государственное управление и внешнеполитическая ...,6,15,240 000,38.04.04
Управление государственным и муниципальным имуществом,бюджетных,30,200 000,38.04.04
Магистр инновационного и предпринимательского права в ...,бюджетных,15,240 000,40.04.01
Журналистика и медиатехнологии,7,45,194 000,42.04.02
Государственное регулирование экономики,10,30,200 000,38.04.01
Информационный менеджмент,бюджетных,50,220 000,38.04.02
Безопасность государственного управления и противодействие ...,10,80,210 000,38.04.04
Государственное регулирование природопользования,бюджетных,15,190 000,38.04.04
Психология политического лидерства и управления,бюджетных,45,200 000,38.04.04
Государственное стратегическое управление,бюджетных,50,230 000,38.04.04
Правовое обеспечение государственного и муниципального ...,7,50,230 000,40.04.01
Юрист в сфере цифровой экономики,бюджетных,30,,40.04.01
Международное право для государства и гражданина,бюджетных,30,240 000,40.04.01
Продюсер креативных индустрий,бюджетных,40,310 000,42.04.05
"Финансы: учет, анализ и аудит",4,35,216 000,38.04.01
Финансовая дипломатия,4,30,216 000,38.04.01
Государственная статистика и анализ данных,бюджетных,10,200 000,38.04.01
Предпринимательство в цифровой среде,4,35,,38.04.01
Государственная и муниципальная социальная политика,5,45,190 000,38.04.04
Управление развитием российского Севера,бюджетных,20,190 000,38.04.04
Стратегическое управление городом и урбанистика,4,30,200 000,38.04.04
Государственное управление и национальная безопасность,29,35,240 000,38.04.04
Продвижение и управление брендами,бюджетных,30,200 000,38.04.04
Региональная политика и стратегическое управление регионом,4,35,190 000,38.04.04
Управленческий консалтинг,5,30,,38.04.04
Финансовая инженерия,4,30,216 000,38.04.08
"Гражданское право, гражданский процесс, арбитражный процесс",7,30,240 000,40.04.01
Антикоррупционная деятельность,бюджетных,16,240 000,40.04.01
